Item:,Price:,Link:
PCB Fab,$9.30,https://cart.jlcpcb.com/quote?fileId=08372589eb984a8cb7c02056d0d3d2c9&uuid=d9abbea424484b5f88ba4f5997b21e94&achieveDate=72&eadLink=2&electropolishingOnlyNo=no
Tactile Switches,$2.61,https://www.amazon.eg/-/en/gp/product/B0DRGP5733/ref=ewc_pr_img_3?smid=A2DMKAT7ZKLGQN&psc=1
LCD 16x2,$2.93,https://www.amazon.eg/-/en/gp/product/B0FD24RG6V/ref=ewc_pr_img_4?smid=A1ZVRGNO5AYLOV&psc=1
ESP-WROOM-32,$8.26,https://www.amazon.eg/-/en/gp/product/B0718T232Z/ref=ewc_pr_img_5?smid=A3TF4AIIHFQJ8B&psc=1
Sub Total:,$23.10,
Shipping & handling:,$0.88,
Free Delivery:,-$0.38,
Total:,$23.60,
